学会タイトル,発表タイトル,発表者,発表者の所属
日本応用数理学会2025年度年会,Extreme Learning Machineによる越分岐予測,行木 孝夫,"北海道大学大学院 理学研究院数学部門, 数理・データサイエンス教育研究センター"
日本応用数理学会2025年度年会,Extreme Learning Machineによる越分岐予測,津田 一郎,札幌市立大学 AITセンター
日本応用数理学会2025年度年会,◎時間反転対称性をもつシンプレクティック写像におけるBernoulli性と平衡測度の唯一性,大久保 健一,公立諏訪東京理科大学
日本応用数理学会2025年度年会,◎時間反転対称性をもつシンプレクティック写像におけるBernoulli性と平衡測度の唯一性,梅野 健,京都大学
日本応用数理学会2025年度年会,多体系一般化ブール変換における発散条件,大矢 長門,京都大学
日本応用数理学会2025年度年会,多体系一般化ブール変換における発散条件,梅野 健,京都大学
日本応用数理学会2025年度年会,対称ネットワークにおける無限次元カオス同期とその成立条件,梅野 健,京都大学大学院情報学研究科
日本応用数理学会2025年度年会,◎べき指数が時間変化する非定常OU過程,山下 陽太朗,京都大学大学院
日本応用数理学会2025年度年会,◎べき指数が時間変化する非定常OU過程,梅野 健,京都大学
日本応用数理学会2025年度年会,◎GDP成長率の統計則について,小池 元,京都大学大学院情報学研究科
日本応用数理学会2025年度年会,◎GDP成長率の統計則について,梅野 健,京都大学大学院情報学研究科
日本応用数理学会2025年度年会,PISLにおける熱流束の非緩和条件,吉村 和之,鳥取大学
日本応用数理学会2025年度年会,GADD-MTK1の数理モデリングとシミュレーション,Loling Othman Nuha,大阪大学
日本応用数理学会2025年度年会,GADD-MTK1の数理モデリングとシミュレーション,Moriizumi Hisashi,"The University of Tokyo, Cambridge University"
日本応用数理学会2025年度年会,血流分布の自動調節を可能にするマルチスケール血液循環モデル,劉 嘉瑋,東北大学
日本応用数理学会2025年度年会,血流分布の自動調節を可能にするマルチスケール血液循環モデル,水藤 寛,東北大学
日本応用数理学会2025年度年会,腫瘍関連自己抗体を用いた食道がん診断モデルの開発,野島 陽水,大阪大学 数理・データ科学教育研究センター
日本応用数理学会2025年度年会,腫瘍関連自己抗体を用いた食道がん診断モデルの開発,白鳥 史明,東邦大学大学院 消化器外科学講座
日本応用数理学会2025年度年会,腫瘍関連自己抗体を用いた食道がん診断モデルの開発,島田 英昭,東邦大学大学院 消化器外科学講座
日本応用数理学会2025年度年会,炎症性腸疾患に対する最適な生物学的製剤選択モデル,朝倉 暢彦,大阪大学数理・データ科学教育研究センター
日本応用数理学会2025年度年会,炎症性腸疾患に対する最適な生物学的製剤選択モデル,良原 丈夫,大阪大学大学院医学系研究科消化器内科学
日本応用数理学会2025年度年会,炎症性腸疾患に対する最適な生物学的製剤選択モデル,左近 太佑,大阪大学大学院医学系研究科生体病態情報科学講座
日本応用数理学会2025年度年会,炎症性腸疾患に対する最適な生物学的製剤選択モデル,三善 英知,大阪大学大学院医学系研究科生体病態情報科学講座
日本応用数理学会2025年度年会,R13への区分線形埋め込みを用いたrank 3の格子の高速同一性判定,富安 亮子,九州大学
日本応用数理学会2025年度年会,◎楕円曲線の直積を定義域とする高次数同種写像計算の効率化,吉住 崚,九州大学
日本応用数理学会2025年度年会,◎多重次数付けされた連立代数方程式の求解について,中村 周平,茨城大学
日本応用数理学会2025年度年会,On Diffie-Hellman key exchange algorithm based on a real quadratic analogue of ideal class group action of CM elliptic curves,木村 巌,富山大学
日本応用数理学会2025年度年会,◎超特別な種数5一般化Howe超楕円曲線の存在性と数え上げについて,大橋 亮,東京大学
日本応用数理学会2025年度年会,◎超特別な種数5一般化Howe超楕円曲線の存在性と数え上げについて,工藤 桃成,福岡工業大学
日本応用数理学会2025年度年会,[企画講演] 自動運転システムの形式検証手法の確立に向けて,冨田 尭,北陸先端科学技術大学院大学
日本応用数理学会2025年度年会,数理的技法による情報セキュリティの2024年度後半＆2025年度前半の研究動向,荒井 研一,長崎大学
日本応用数理学会2025年度年会,数理的技法による情報セキュリティの2024年度後半＆2025年度前半の研究動向,鈴木 幸太郎,豊橋技術科学大学
日本応用数理学会2025年度年会,数理的技法による情報セキュリティの2024年度後半＆2025年度前半の研究動向,中林 美郷,NTT 社会情報研究所
日本応用数理学会2025年度年会,数理的技法による情報セキュリティの2024年度後半＆2025年度前半の研究動向,花谷 嘉一,株式会社東芝
日本応用数理学会2025年度年会,数理的技法による情報セキュリティの2024年度後半＆2025年度前半の研究動向,三重野 武彦,EPSON AVASYS株式会社
日本応用数理学会2025年度年会,数理的技法による情報セキュリティの2024年度後半＆2025年度前半の研究動向,山本 光晴,千葉大学
日本応用数理学会2025年度年会,数理的技法による情報セキュリティの2024年度後半＆2025年度前半の研究動向,吉田 真紀,国立情報通信研究機構
日本応用数理学会2025年度年会,数理的技法による情報セキュリティの2024年度後半＆2025年度前半の研究動向,米山 一樹,茨城大学
日本応用数理学会2025年度年会,LWE問題とケーリー・ハミルトンの定理,白勢 政明,公立はこだて未来大学
日本応用数理学会2025年度年会,◎ProVerifによるBGPセキュリティ機構の形式的安全性検証,神谷 海登,信州大学
日本応用数理学会2025年度年会,◎ProVerifによるBGPセキュリティ機構の形式的安全性検証,三重野 武彦,"EPSON AVASYS, 信州大学"
日本応用数理学会2025年度年会,◎ProVerifによるBGPセキュリティ機構の形式的安全性検証,岡崎 裕之,信州大学
日本応用数理学会2025年度年会,◎ProVerifによるBGPセキュリティ機構の形式的安全性検証,鈴木 彦文,NII
日本応用数理学会2025年度年会,◎ProVerifによるBGPセキュリティ機構の形式的安全性検証,荒井 研一,長崎大学
日本応用数理学会2025年度年会,◎ProVerifによるBGPセキュリティ機構の形式的安全性検証,布田 裕一,東京工科大学
日本応用数理学会2025年度年会,◎ProVerifによる線形秘密分散の形式化とSPDZの検証への応用,渡部 翔,茨城大学
日本応用数理学会2025年度年会,◎ProVerifによる線形秘密分散の形式化とSPDZの検証への応用,三田 翔平,茨城大学
日本応用数理学会2025年度年会,◎ProVerifによる線形秘密分散の形式化とSPDZの検証への応用,米山 一樹,茨城大学
日本応用数理学会2025年度年会,An Approach to Formalize Information-theoretic Security of Multiparty Computation Protocols,Weng Cheng Hui,名古屋大学
日本応用数理学会2025年度年会,An Approach to Formalize Information-theoretic Security of Multiparty Computation Protocols,Affeldt Reynald,產業技術綜合研究所
日本応用数理学会2025年度年会,An Approach to Formalize Information-theoretic Security of Multiparty Computation Protocols,Garrigue Jacques,名古屋大学
日本応用数理学会2025年度年会,An Approach to Formalize Information-theoretic Security of Multiparty Computation Protocols,才川 隆文,名古屋大学
